"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DTE","DTE Energy Company","126.92","$23.26B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","26.03","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtj",
"DTQ","DTE Energy Company","25.33","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtq",
"DTV","DTE Energy Company","55.69","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtv",
"DTW","DTE Energy Company","26.55","n/a","2017","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dtw",
"DTY","DTE Energy Company","27.61","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/dty",
"DCO","Ducommun Incorporated","39.33","$452.21M","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/dco",
"DPG","Duff & Phelps Global Utility Income Fund Inc.","14.98","$568.19M","2011","n/a","n/a","https://www.nasdaq.com/symbol/dpg",
"DSE","Duff & Phelps Select MLP and Midstream Energy Fund","4.98","$130.52M","2014","n/a","n/a","https://www.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","12.02","$3.58B","1987","n/a","n/a","https://www.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","14.01","$119.37M","1991","n/a","n/a","https://www.nasdaq.com/symbol/dtf",
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","8.82","$242.5M","1993","n/a","n/a","https://www.nasdaq.com/symbol/duc",
"DUK","Duke Energy Corporation","86.96","$63.31B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/duk",
"DUK^A","Duke Energy Corporation","27.1841","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/duk^a",
"DUKB","Duke Energy Corporation","26.85","n/a","2018","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/dukb",
"DUKH","Duke Energy Corporation","25.26","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/dukh",
"DRE","Duke Realty Corporation","32.08","$11.53B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dre",
"DD","DuPont de Nemours, Inc.","66.06","$49.47B","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dd",
"DXC","DXC Technology Company","50.86","$13.55B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dxc",
"DY","Dycom Industries, Inc.","49.56","$1.56B","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/dy",
"DLNG","Dynagas LNG Partners LP","1.3","$46.14M","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","18.01","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlng^a",
"DLNG^B","Dynagas LNG Partners LP","16.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlng^b",
"DT","Dynatrace, Inc.","23.74","$6.54B","2019","n/a","n/a","https://www.nasdaq.com/symbol/dt",
"DX","Dynex Capital, Inc.","15.9","$391.89M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dx",
"DX^A","Dynex Capital, Inc.","25.53","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dx^a",
"DX^B","Dynex Capital, Inc.","24.7991","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dx^b",
"CTA^A","E.I. du Pont de Nemours and Company","82.81","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cta^a",
"CTA^B","E.I. du Pont de Nemours and Company","114.226","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cta^b",
"ELF","e.l.f. Beauty, Inc.","15.84","$788.68M","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/elf",
"EGIF","Eagle Growth and Income Opportunities Fund","15.2","$109.15M","2015","n/a","n/a","https://www.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","82.71","$3.48B","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/exp",
"ECC           ","Eagle Point Credit Company Inc.","16.71","$406.29M","2014","n/a","n/a","https://www.nasdaq.com/symbol/ecc",
"ECCA","Eagle Point Credit Company Inc.","25.65","n/a","2015","n/a","n/a","https://www.nasdaq.com/symbol/ecca",
"ECCB","Eagle Point Credit Company Inc.","26.27","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/eccb",
"ECCX","Eagle Point Credit Company Inc.","25.7375","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/eccx",
"ECCY","Eagle Point Credit Company Inc.","25.94","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/eccy",
"EIC","Eagle Point Income Company Inc.","19.9536","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/eic",
"ESTE","Earthstone Energy, Inc.","3.61","$232.19M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/este",
"DEA","Easterly Government Properties, Inc.","18.94","$1.35B","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dea",
"EGP","EastGroup Properties, Inc.","117.41","$4.41B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","67.94","$9.42B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/emn",
"KODK","Eastman Kodak Company","2.44","$104.92M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kodk",
